sedafips,fips,stateabb,sedafipsname,subject,subgroup,ys_mn_2016_ol,ys_mn_2016_ol_se_adj,ys_mn_2016_eb,ys_mn_2016_eb_se_adj,ys_mn_2017_ol,ys_mn_2017_ol_se_adj,ys_mn_2017_eb_se_adj,ys_mn_2017_eb,ys_mn_2018_ol,ys_mn_2018_ol_se_adj,ys_mn_2018_eb,ys_mn_2018_eb_se_adj,ys_mn_2019_ol,ys_mn_2019_ol_se_adj,ys_mn_2019_eb_se_adj,ys_mn_2019_eb,ys_mn_2022_ol,ys_mn_2022_ol_se_adj,ys_mn_2022_eb,ys_mn_2022_eb_se_adj,ys_mn_2023_ol,ys_mn_2023_ol_se_adj,ys_mn_2023_eb,ys_mn_2023_eb_se_adj,ys_mn_1922_ol,ys_mn_1922_ol_se_adj,ys_mn_1922_eb,ys_mn_1922_eb_se_adj,ys_mn_1923_ol,ys_mn_1923_ol_se_adj,ys_mn_1923_eb,ys_mn_1923_eb_se_adj,ys_mn_2223_ol,ys_mn_2223_ol_se_adj,ys_mn_2223_eb,ys_mn_2223_eb_se_adj,avgasmt_2016,avgasmt_2017,avgasmt_2018,avgasmt_2019,avgasmt_2022,avgasmt_2023,tot_2016,tot_2017,tot_2018,tot_2019,tot_2022,tot_2023,cell_2016,cell_2017,cell_2018,cell_2019,cell_2022,cell_2023,flag_estasmt2022,flag_estasmt2023
6,6,CA,California,mth,all,-.1901757446339435,.0190012102373844,-.1858195646751608,.0152086129535905,-.1775231993270832,.0247085316491371,.0192363170709085,-.1752510181014412,-.1659676942624982,.0160873779558795,-.1639758418910266,.0129771936068716,-.1544121891979132,.0206083328225467,.0174239582526013,-.152700665680612,-.2800461225149212,.0326510423189292,-.28804671203227,.029128135258153,-.2516079991503573,.0326703131116364,-.2595674032405759,.029149479958274,-.1256339333170079,.0386108009012681,-.135346046351658,.0339417528245913,-.0971958099524441,.0386270985259988,-.106866737559964,.0339600721881773,.0284381233645639,.0011219600259608,.0284793087916941,.0011212600127711,468042.3333333333,467425.1666666667,462587,460326,424664.3333333333,421752.3333333333,2808254,2804551,2775522,2761956,2547986,2530514,6,6,6,6,6,6,0,0
6,6,CA,California,mth,blk,-.6888756098049373,.0192403616983255,-.6813001749572126,.0155565062610269,-.6975359898365607,.0249156664432125,.0137989526327301,-.6872943761488945,-.6981503632690194,.0164162202244067,-.6932634883368496,.0110186032393817,-.6958230365306899,.02087407405468,.0155401684989177,-.6991850882630606,-.8149619609098595,.0329074144803738,-.8246587143206249,.0296066314179482,-.7972852284615208,.0329183974463101,-.8058219340219217,.0296328363600907,-.1191389243791696,.0389695380447777,-.1254736260575643,.0334372466105239,-.1014621919308309,.0394076462709296,-.1066368457588611,.0334604516962737,.0176767324483387,.0058598369594501,.0188367802987031,.0057854358439097,26321.16666666667,25611.66666666667,24900,24305.66666666667,21402.16666666667,21044.5,157927,153670,149400,145834,128413,126267,6,6,6,6,6,6,0,0
6,6,CA,California,mth,ecd,-.5114715179505884,.0190186565879872,-.5033914418339096,.0150385879063548,-.5039232396973377,.0247228159496648,.0151679392162158,-.4945204936623763,-.4822946186292419,.0161093938544292,-.4823249988885528,.0118467572321739,-.4672555264835278,.020625726609818,.015455680077872,-.4718233075501355,-.5927780546023778,.0326663934003848,-.5980636072491431,.0287161001910434,-.5572121258594518,.0326664738774241,-.5624565818559324,.028710428793203,-.12552252811885,.038633066872456,-.1262402996990076,.0326112320658324,-.089956599375924,.0386590804381038,-.0906332743057969,.0326062381785926,.035565928742926,.0014179719137286,.0356070253932107,.0014169088472742,284713.5,289982.3333333333,292256.5,291701.6666666667,255728.1666666667,265621.8333333333,1708281,1739894,1753539,1750210,1534369,1593731,6,6,6,6,6,6,0,0
6,6,CA,California,mth,hsp,-.4843259828839901,.01901975182294,-.4741874965628125,.013945074931348,-.4726812571291245,.0247238120931616,.0129336276917237,-.4645038723537733,-.4563887435973848,.0161110948981313,-.4548184732109626,.010192257200755,-.4417150555733372,.0206271252297714,.0155078051040529,-.4451350487110342,-.5656895662589624,.032666218048715,-.5809022865345594,.027707933756395,-.541003885489366,.0326672064147686,-.5561378997620557,.027751744316287,-.1239745106856252,.0386336653302643,-.1357672378235253,.0317525056049765,-.0992888299160288,.0386601493061931,-.1110028510510216,.0317907428623783,.0246856807695964,.0014307506862757,.0247643867725037,.0014266697301513,254893.6666666667,256566.6666666667,255065.3333333333,254977.3333333333,238788.1666666667,237027.6666666667,1529362,1539400,1530392,1529864,1432729,1422166,6,6,6,6,6,6,0,0
6,6,CA,California,mth,nec,.3082715856165726,.0190281038552154,.3081379415290136,.0131847829848396,.3512470295699794,.0247307620615796,.0158943459959544,.3344752435182234,.3644739808283925,.0161243154390075,.3518365436227241,.011998607680964,.3683372262779668,.0206386855210284,.0148758626739349,.3628200056810819,.2345995802114605,.032670541403402,.2380751940263715,.025283566618236,.3104439788970712,.0326733573802206,.3139184888139084,.0252557257249535,-.1337376460665063,.0386434938330802,-.1247448116547104,.0293351330529205,-.0578932473808956,.0386788190705109,-.0489015168671735,.0293111407520732,.0758443986856107,.0016527035614428,.0758432947875369,.0016514843693051,183328.8333333333,177442.8333333333,170330.5,168624.3333333333,168936.5,156130.3333333333,1099973,1064657,1021983,1011746,1013619,936782,6,6,6,6,6,6,0,0
6,6,CA,California,mth,wht,.1945618556621548,.0190413948904737,.1939758804346964,.0134679002120115,.2004766492556759,.0247416480481477,.0137500628487446,.1987289244250947,.197963229521288,.0161415791093649,.2034736120184663,.0099937938164072,.200416720856192,.0206528201692717,.0143750268845412,.2082241826867913,.1364523144008533,.0326837354326723,.1199319796620343,.0274584292232057,.1573522351664685,.0326863556051601,.1410730275386303,.0274845170156159,-.0639644064553387,.038662197852388,-.0882922030247571,.0309936563402429,-.0430644856897235,.038719618003437,-.067151155148161,.0310167708427709,.0208999207656152,.0021079078620486,.0211410478765961,.0020998436895664,110602.5,108867.1666666667,105696.8333333333,102599.8333333333,87036,85400.33333333333,663615,653203,634181,615599,522216,512402,6,6,6,6,6,6,0,0
6,6,CA,California,rla,all,-.0918466309134292,.0188679926257539,-.0887052150611282,.0144666116014862,-.0552407288863951,.0239153830827403,.0171777139429459,-.0683015394352575,-.0678441702987552,.0158693590835258,-.0681579312622792,.0118314817597556,-.0804476117111153,.0208662570408139,.016274580984469,-.0680143230893008,-.1110296787090934,.0312366754473135,-.1290103946060603,.0258465523879304,-.1307609791749185,.0312554512595139,-.1487138931517546,.0258754948784633,-.0305820669979781,.0375650179807506,-.0609960715167594,.0305435141488675,-.0503133674638032,.0375806321970395,-.0806995700624537,.0305680097720708,-.0197313004658251,.0010832083987167,-.0197034985456943,.0010828990531418,466188.5,465235.1666666667,461163.8333333333,458681.3333333333,423538.6666666667,419566.8333333333,2797131,2791411,2766983,2752088,2541232,2517401,6,6,6,6,6,6,0,0
6,6,CA,California,rla,blk,-.5474730151288226,.0191084969352028,-.5402545106496897,.0148471163338221,-.5176765557466255,.0241162993163165,.0124538167954417,-.5431448192071149,-.5429743907296574,.0161783313058825,-.5461290888622794,.0107711126443497,-.5621501235593894,.0211062446765604,.0153374349688326,-.5491244048085883,-.5701789968437212,.0314428531021383,-.5924557972982283,.0268205439229448,-.6071276714452598,.0314626924102548,-.6288019644405445,.0268475974229094,-.0080288732843318,.0378698636853829,-.04333139248964,.0308962536199096,-.0449775478858704,.0382259180982332,-.0796775596319562,.0309197412473938,-.0369486746015386,.0052052126664866,-.0363461671423162,.0051777937907511,26359.5,25642.66666666667,24949.66666666667,24366.83333333333,21488.5,21112.66666666667,158157,153856,149698,146201,128931,126676,6,6,6,6,6,6,0,0
6,6,CA,California,rla,ecd,-.4120366180078404,.0188857775832936,-.4096281141722306,.0152950013282676,-.3728678010049497,.0239294570560729,.0144189279139086,-.3891102802031069,-.3721341997787317,.015890417375729,-.3805953034049508,.0115892510624955,-.3810315133829206,.0208826247044132,.0152749603341645,-.3788427787347801,-.4144970659362811,.0312506134122173,-.4305905714670992,.0272226987339015,-.4303839683079094,.0312510273402685,-.4464432709165945,.0272246110668663,-.0334655525533605,.037585700115672,-.0517477927323192,.0312153766526541,-.0493524549249889,.0376092091866566,-.0676004921818144,.0312170443980918,-.0158869023716284,.001329572284785,-.0158526994494953,.0013290854036272,283587.5,288445.5,291258.6666666667,290546.5,255321.6666666667,264504.1666666667,1701525,1730673,1747552,1743279,1531930,1587025,6,6,6,6,6,6,0,0
6,6,CA,California,rla,hsp,-.3711562336988544,.0188873390916531,-.3620141840310168,.0151574093265374,-.3294107341672143,.0239308268457411,.012171179502781,-.3535869703281624,-.3347460114372076,.0158926243814227,-.3451934711017894,.0112933323796713,-.3428045396287572,.0208843231386332,.0138724709841651,-.3368155599990101,-.378167080866122,.0312510074219119,-.3946896991852367,.027123506772504,-.4036993480564443,.0312521320624998,-.420173239599104,.02714052604567,-.0353625412373648,.0375869713842874,-.0578741391862266,.0304652272409804,-.0608948084276871,.0376117249694555,-.0833576796000939,.0304803806610449,-.0255322671903223,.0013643450204119,-.0254835404138672,.0013633617943728,253904.1666666667,255307.6666666667,254271,253830.5,238095.1666666667,235769.3333333333,1523425,1531846,1525626,1522983,1428571,1414616,6,6,6,6,6,6,0,0
